Subject,Region,Method,Tissue Label,RMSE
335293,207.0,s1_2,GM,0.4122079644700193
335293,207.0,s1_3,GM,0.5979641764977521
335293,207.0,both,GM,0.5068410081534384
335293,207.0,lut,GM,0.35879098675668747
335293,208.0,s1_2,Other,1.025777418249521
335293,208.0,s1_3,Other,1.3074844440874702
335293,208.0,both,Other,1.2375257209002353
335293,208.0,lut,Other,0.8315472754384291
335740,0.0,s1_2,Other,0.1450390736346211
335740,0.0,s1_3,Other,0.185893995216342
335740,0.0,both,Other,0.1879805148642645
335740,0.0,lut,Other,0.12627224713030888
335740,36.0,s1_2,GM,0.24575409005018156
335740,36.0,s1_3,GM,0.19922891743524787
335740,36.0,both,GM,0.18309864194651254
335740,36.0,lut,GM,0.21958272683395355
335740,37.0,s1_2,GM,0.2940445175755448
335740,37.0,s1_3,GM,0.25448047429239484
335740,37.0,both,GM,0.22922707136345477
335740,37.0,lut,GM,0.26773809753514366
335740,44.0,s1_2,WM,0.26750308876294726
335740,44.0,s1_3,WM,0.23830850660952724
335740,44.0,both,WM,0.2213814615239397
335740,44.0,lut,WM,0.24351571760250063
335740,45.0,s1_2,WM,0.2523027704644938
335740,45.0,s1_3,WM,0.2215642460321201
335740,45.0,both,WM,0.20480951436263894
335740,45.0,lut,WM,0.22826313620162816
335740,51.0,s1_2,Other,0.6869125988294508
335740,51.0,s1_3,Other,1.6229484452932097
335740,51.0,both,Other,1.3789381710242128
335740,51.0,lut,Other,0.5395686723491055
335740,52.0,s1_2,Other,0.9873377748375829
335740,52.0,s1_3,Other,1.6277098274398234
335740,52.0,both,Other,1.3986481641162323
335740,52.0,lut,Other,0.7373226890881529
335740,59.0,s1_2,GM,0.44654265182069186
335740,59.0,s1_3,GM,0.35738054281449083
335740,59.0,both,GM,0.3418819042073276
335740,59.0,lut,GM,0.4135120993298076
335740,60.0,s1_2,GM,0.5170658445189916
335740,60.0,s1_3,GM,0.38561340234920644
335740,60.0,both,GM,0.39070798981159754
335740,60.0,lut,GM,0.48093105495397315
335740,100.0,s1_2,GM,0.2864848982975157
335740,100.0,s1_3,GM,0.453902618148619
335740,100.0,both,GM,0.3929834817680657
335740,100.0,lut,GM,0.2746484630884388
335740,101.0,s1_2,GM,0.29968454935286976
335740,101.0,s1_3,GM,0.5302695887382093
335740,101.0,both,GM,0.4485971798404428
335740,101.0,lut,GM,0.2950128129965767
335740,103.0,s1_2,GM,0.21917531078340935
335740,103.0,s1_3,GM,0.399015491142651
335740,103.0,both,GM,0.3503157920747694
335740,103.0,lut,GM,0.2388351626741927
335740,106.0,s1_2,GM,0.2597006227267178
335740,106.0,s1_3,GM,0.4358716496136334
335740,106.0,both,GM,0.3626141097127092
335740,106.0,lut,GM,0.24843188859521542
335740,107.0,s1_2,GM,0.25904712811206165
335740,107.0,s1_3,GM,0.4295153832341846
335740,107.0,both,GM,0.3593479329507934
335740,107.0,lut,GM,0.24596047824656436
335740,112.0,s1_2,GM,0.35371964343028833
335740,112.0,s1_3,GM,0.5403320683672745
335740,112.0,both,GM,0.4726511122987044
335740,112.0,lut,GM,0.33749668546984946
335740,113.0,s1_2,GM,0.249839710434023
335740,113.0,s1_3,GM,0.3831999764144262
335740,113.0,both,GM,0.35497279854996955
335740,113.0,lut,GM,0.26727317704127357
335740,114.0,s1_2,GM,0.23473052517961793
335740,114.0,s1_3,GM,0.4110344539815385
335740,114.0,both,GM,0.33572524024596573
335740,114.0,lut,GM,0.2280269857455208
335740,115.0,s1_2,GM,0.3281782205978742
