Subject,Method,Tissue Type,RMSE
335574,lut,All,0.43433131467263875
336954,s1_2,WM,0.29457560599140725
336954,s1_3,WM,0.26877230389251977
336954,both,WM,0.24975581717581227
336954,lut,WM,0.25728504203198427
336954,s1_2,GM,0.37579721008037054
336954,s1_3,GM,0.5502178679058369
336954,both,GM,0.45725435445981333
336954,lut,GM,0.300075256650274
336954,s1_2,Other,1.1563071677889245
336954,s1_3,Other,1.6668280618773101
336954,both,Other,1.5624981300758949
336954,lut,Other,0.7653769058867321
336954,s1_2,All,0.5429894892049986
336954,s1_3,All,0.750259062757432
336954,both,All,0.688263448766316
336954,lut,All,0.39128301148897304
336885,s1_2,WM,0.28991696223201746
336885,s1_3,WM,0.27104710459545966
336885,both,WM,0.25598448179830857
336885,lut,WM,0.2545365432990669
336885,s1_2,GM,0.34568102651524546
336885,s1_3,GM,0.4783257829321494
336885,both,GM,0.41282801361387117
336885,lut,GM,0.3122661824834461
336885,s1_2,Other,1.0591724872631856
336885,s1_3,Other,1.6326141779884826
336885,both,Other,1.4858539149018084
336885,lut,Other,0.7016930477723597
336885,s1_2,All,0.4693394531033515
336885,s1_3,All,0.6636633992454645
336885,both,All,0.5995301850014649
336885,lut,All,0.35800782975887613
336195,s1_2,WM,0.2857005705275523
336195,s1_3,WM,0.26477879595913284
336195,both,WM,0.24463399105279066
336195,lut,WM,0.24813833553067396
336195,s1_2,GM,0.35991933593931896
336195,s1_3,GM,0.5407433538057147
336195,both,GM,0.4464383898913605
336195,lut,GM,0.27470108983324054
336195,s1_2,Other,1.150398372221687
336195,s1_3,Other,1.6189329338534681
336195,both,Other,1.5088856858928403
336195,lut,Other,0.7927466764982735
336195,s1_2,All,0.6008965317331737
336195,s1_3,All,0.8319009345853972
336195,both,All,0.761307648153375
336195,lut,All,0.4313381298052193
335663,s1_2,WM,0.27331915671950435
335663,s1_3,WM,0.24907030476067596
335663,both,WM,0.23160519080971106
335663,lut,WM,0.23508718786583555
335663,s1_2,GM,0.3020819327904182
335663,s1_3,GM,0.47079819652187616
335663,both,GM,0.39117404403129036
335663,lut,GM,0.25794305896406444
335663,s1_2,Other,1.2888697344321987
335663,s1_3,Other,1.7376320715751379
335663,both,Other,1.6294233555178343
335663,lut,Other,0.93250804793609
335663,s1_2,All,0.5680346316143011
335663,s1_3,All,0.7585656124134722
335663,both,All,0.6992361577017068
335663,lut,All,0.42853297279129693
336144,s1_2,WM,0.3286280722769732
336144,s1_3,WM,0.2980192504658987
336144,both,WM,0.2799100681976634
336144,lut,WM,0.2923019714271377
336144,s1_2,GM,0.3120023331393848
336144,s1_3,GM,0.39581698254560027
336144,both,GM,0.33382908783760074
336144,lut,GM,0.26149879938413917
336144,s1_2,Other,1.090964154603018
336144,s1_3,Other,1.587110487086087
336144,both,Other,1.3760253738262254
336144,lut,Other,0.7123536885285136
336144,s1_2,All,0.47058374801819386
336144,s1_3,All,0.6159814649441518
336144,both,All,0.5371637369728153
336144,lut,All,0.3530421811327501
337071,s1_2,WM,0.3491239465889565
337071,s1_3,WM,0.31958497562582355
337071,both,WM,0.3012334869748094
337071,lut,WM,0.31237415906779914
337071,s1_2,GM,0.37588751357734124
337071,s1_3,GM,0.4171400809467128
337071,both,GM,0.367709004590344
337071,lut,GM,0.33279984815718444
337071,s1_2,Other,0.974214572409194
337071,s1_3,Other,1.4430360090344676
337071,both,Other,1.292158262552646
337071,lut,Other,0.6797317154473852
337071,s1_2,All,0.46362908534683656
337071,s1_3,All,0.5799285988980458
337071,both,All,0.521258703154737
337071,lut,All,0.37504191528371017
335407,s1_2,WM,0.33037715086208275
335407,s1_3,WM,0.31058189469530795
335407,both,WM,0.2897605620050108
335407,lut,WM,0.29112264146647804
335407,s1_2,GM,0.34285652595250626
335407,s1_3,GM,0.3694767337444475
335407,both,GM,0.32778536044784745
335407,lut,GM,0.30449849741753127
335407,s1_2,Other,0.9121289483117675
335407,s1_3,Other,1.3272009927009587
335407,both,Other,1.1164719952082676
335407,lut,Other,0.5852079609713368
335407,s1_2,All,0.3995445679556035
335407,s1_3,All,0.4717620441356851
335407,both,All,0.4121684438174289
335407,lut,All,0.3242030894223538
338090,s1_2,WM,0.3068698053846987
338090,s1_3,WM,0.2877741022055778
338090,both,WM,0.27209555930869184
338090,lut,WM,0.2736985193900651
338090,s1_2,GM,0.37062208319641843
338090,s1_3,GM,0.3974043178915913
338090,both,GM,0.3567634476256907
338090,lut,GM,0.32710937950515073
338090,s1_2,Other,0.9586234915487658
338090,s1_3,Other,1.370339060858182
338090,both,Other,1.2268088152978165
338090,lut,Other,0.681732937706673
338090,s1_2,All,0.4464759413092614
338090,s1_3,All,0.5519804882675502
338090,both,All,0.498443359627899
338090,lut,All,0.3591125424535621
335683,s1_2,WM,0.289316805364437
335683,s1_3,WM,0.2583483480001656
335683,both,WM,0.2418805746579906
335683,lut,WM,0.25138389864042876
335683,s1_2,GM,0.3136456434795963
335683,s1_3,GM,0.4385078074495449
335683,both,GM,0.371214904030137
335683,lut,GM,0.2593163672291947
335683,s1_2,Other,1.122501127213606
335683,s1_3,Other,1.555000533821889
335683,both,Other,1.455274614300121
335683,lut,Other,0.7558887691541443
335683,s1_2,All,0.5426806908388438
335683,s1_3,All,0.7273702026810156
335683,both,All,0.6710948357872029
335683,lut,All,0.3915191145149376
335652,s1_2,WM,0.34253705802105455
335652,s1_3,WM,0.3194067884645549
335652,both,WM,0.2997216097430545
335652,lut,WM,0.30368075097633795
335652,s1_2,GM,0.3723740980270485
335652,s1_3,GM,0.5368918092473338
335652,both,GM,0.43857223751863056
335652,lut,GM,0.2911806952080758
335652,s1_2,Other,1.2567926782797345
335652,s1_3,Other,1.6800652490226544
335652,both,Other,1.5822929902356657
335652,lut,Other,0.9028447202120764
335652,s1_2,All,0.656515884692705
335652,s1_3,All,0.8623276599137822
335652,both,All,0.7964135242516408
335652,lut,All,0.4900972094600581
336839,s1_2,WM,0.3221525340467462
336839,s1_3,WM,0.30001722722750085
336839,both,WM,0.2821220046006966
336839,lut,WM,0.2858886840161698
336839,s1_2,GM,0.31241142232324826
336839,s1_3,GM,0.4470934294919793
336839,both,GM,0.3755861808389593
336839,lut,GM,0.27635922556397635
336839,s1_2,Other,1.0164669091236314
336839,s1_3,Other,1.5405491985557678
336839,both,Other,1.3518932848119696
336839,lut,Other,0.6795214465738171
336839,s1_2,All,0.44058383260017375
336839,s1_3,All,0.6036912196348302
336839,both,All,0.5293205234217371
336839,lut,All,0.34275084733118255
